LOCATION_NAME,RESTAURANT_NAME,NUMBER_OF_ORDERS,AVG_PLACED,AVG_ARRIVED,AVG_ENROUTE,AVG_PLACED_ARRIVED,AVG_ARR_ENROUTE,AVG_DELIVERED,AVG_DEL_TIME,AVG_DISTANCE,AVG_PREP_TIME,ON_TIME
"Jacksonville, NC","Ocean Bay Seafood","13","5.85","27.46","28.38","21.62","6.77","16.00","50.23","4.3338461538462","30","92.31"
"Jacksonville, NC","Denny's","23","18.04","47.22","40.26","28.87","11.39","13.87","72.48","5.9530434782609","30","56.52"
"Fayetteville, NC","Panda Express","25","8.88","26.96","34.20","16.52","17.68","20.04","64.68","7.5344","30","52"
"Jacksonville, NC","Cancun Mexican Restaurant","89","13.40","46.45","37.61","30.16","7.45","17.22","71.12","7.5304494382022","30","62.92"
"Fayetteville, NC","Mi Casita","5","2.60","36.00","47.00","32.40","14.60","33.20","83.80","8.344","30","40"
"Jacksonville, NC","Taco Bell","210","0.84","0.98","0.08","0.00","0.49","15.80","50.36","4.0371904761905","30","80.95"
"Jacksonville, NC","McDonald's","253","0.60","0.62","0.32","0.00","0.53","15.61","53.00","4.092766798419","30","79.45"
"Jacksonville, NC","Cookout","129","0.35","0.40","0.33","0.00","0.37","15.50","49.47","3.9579069767442","30","86.05"
"Fayetteville, NC","Papa John's","6","6.83","20.67","21.67","13.00","8.67","20.17","49.50","5.66","30","83.33"
"Fayetteville, NC","Bubba's 33","7","12.57","31.00","32.14","18.43","13.71","17.71","62.43","7.6828571428571","30","57.14"
"Fayetteville, NC","Bad Daddy's Burger Bar","3","3.67","35.33","36.33","30.00","6.33","25.33","67.00","5.8566666666667","15","33.33"
"Fayetteville, NC","Burger King","28","2.46","4.36","0.07","0.00","1.11","22.14","55.54","13.874642857143","15","71.43"
"Jacksonville, NC","Burger King","63","0.90","1.32","0.21","0.00","0.70","15.27","52.13","4.3095238095238","15","88.89"
"Jacksonville, NC","Burger King","56","0.36","1.04","0.50","0.11","0.71","14.80","54.55","7.3628571428571","15","69.64"
"Havelock, NC","Wendy's","31","1.03","1.45","0.71","0.00","0.94","20.16","58.19","3.9106451612903","15","61.29"
"Havelock, NC","Taco Bell","42","1.26","0.69","0.00","0.00","0.52","11.79","38.38","2.7395238095238","15","76.19"
"Havelock, NC","Subway","21","0.90","0.38","0.05","0.00","0.14","12.38","39.76","2.5819047619048","15","76.19"
"Jacksonville, NC","Blaze Pizza","33","6.70","31.70","35.52","24.55","10.97","25.36","68.03","11.201818181818","20","78.79"
"Norfolk, VA","Applebee's Grill","53","14.19","39.87","30.79","23.23","7.57","19.81","67.25","4.5784905660377","15","73.58"
"Norfolk, VA","Taco Bell","106","0.64","1.63","1.06","0.63","0.60","13.08","51.31","1.9281132075472","15","77.36"
"Norfolk, VA","Wing Stop","120","9.30","34.61","27.93","22.53","5.40","20.28","60.28","5.0185","15","71.67"
"Havelock, NC","Cookout","43","1.16","1.30","0.16","0.00","1.26","17.84","50.72","4.08","15","60.47"
"Havelock, NC","Sonic","25","0.28","1.64","0.00","0.00","0.48","19.12","52.72","4.2908","15","60"
"Havelock, NC","Hwy 55","13","11.23","37.00","30.00","25.38","4.62","17.31","58.92","3.7315384615385","15","61.54"
"Havelock, NC","Bojangles","38","2.47","1.87","0.97","0.00","1.03","17.39","46.76","3.3113157894737","15","71.05"
"Norfolk, VA","McDonald's ","89","1.01","0.17","0.11","0.00","0.12","13.92","53.12","2.0148314606742","15","74.16"
"Norfolk, VA","Wendy's","80","1.03","0.85","0.56","0.36","0.23","11.98","44.16","2.040375","15","91.25"
"Norfolk, VA","Subway","51","0.98","0.78","0.76","0.59","0.39","17.98","51.49","2.2203921568627","15","78.43"
"Norfolk, VA","Burger King","26","0.50","0.00","0.00","0.00","0.00","21.50","65.88","4.5619230769231","15","73.08"
"Norfolk, VA","Papa John's","33","10.55","34.64","26.42","22.58","3.85","18.18","56.67","3.8221212121212","20","84.85"
"Norfolk, VA","Chick-fil-A","162","0.73","1.44","0.51","0.29","0.40","18.96","64.07","9.8243827160494","30","83.95"
"Havelock, NC","KFC","38","0.76","0.13","0.08","0.00","0.16","12.50","48.21","2.0660526315789","20","65.79"
"Norfolk, VA","Jersey Mikes","43","6.12","25.98","24.26","19.26","5.00","15.05","46.02","2.0402325581395","30","79.07"
"Norfolk, VA","Clean Eatz","2","13.00","50.50","61.00","35.50","25.50","12.00","88.00","3.58","30","0"
"Norfolk, VA","Cookout","65","1.78","1.89","0.51","0.38","0.31","16.92","58.68","4.5464615384615","30","78.46"
"Norfolk, VA","Your Pie","14","9.71","30.00","28.71","18.79","9.93","15.14","55.07","3.68","15","78.57"
"Norfolk, VA","Five Guys","19","11.89","40.95","36.53","28.95","7.58","26.68","75.21","6.8147368421053","30","47.37"
"Norfolk, VA","Sonic","51","0.57","0.20","0.12","0.00","0.24","24.18","74.59","6.701568627451","30","50.98"
"Norfolk, VA","Bojangles","32","0.97","0.56","0.03","0.00","0.03","17.16","57.75","4.720625","15","71.88"
"Jacksonville, NC","Bojangles","30","0.83","0.00","0.00","0.00","0.00","15.73","66.97","7.4386666666667","15","73.33"
"Jacksonville, NC","Bojangles","30","0.30","0.60","0.53","0.00","0.97","24.73","58.77","8.1073333333333","30","50"
"Jacksonville, NC","Carolina Fish Fry Co.","14","9.50","36.64","33.64","24.00","9.64","16.71","63.00","7.3335714285714","45","71.43"
"Jacksonville, NC","Bojangles","28","0.46","1.32","0.68","0.00","1.00","18.68","60.29","5.8728571428571","30","67.86"
"Jacksonville, NC","KFC","87","0.36","1.39","1.68","0.44","1.59","18.18","49.10","7.2025287356322","20","83.91"
"Jacksonville, NC","KFC","86","0.38","0.21","0.00","0.00","0.05","19.70","54.15","6.3616279069767","20","80.23"
"Jacksonville, NC","Wow Bao","31","5.45","39.65","41.39","34.19","7.19","18.55","65.39","10.725161290323","30","61.29"
"Jacksonville, NC","Hooters","20","1.22","40.50","45.11","38.17","6.94","14.50","59.28","8.7515","21","50"
"Jacksonville, NC","Burrito Shak","157","6.68","33.74","35.59","25.57","10.03","23.10","66.86","10.625668789809","30","80.89"
"Jacksonville, NC","ChowCall Express","41","2.56","3.93","0.41","0.00","1.80","16.73","58.68","8.1892682926829","30","87.8"
"Jacksonville, NC","Wingstop","177","6.21","31.59","30.86","22.86","8.01","25.39","64.99","10.311807909605","15","57.06"
"Jacksonville, NC","Salty Sistas","3","4.00","42.33","52.67","38.00","14.67","16.33","73.33","6.16","15","33.33"
"Jacksonville, NC","Taco Bell","203","0.92","0.96","0.51","0.03","0.94","13.49","43.49","2.8145320197044","30","67.98"
"Jacksonville, NC","Buffalo Wild Wings","124","6.12","36.19","38.45","27.60","10.85","21.82","68.86","9.9062096774194","30","70.97"
"Jacksonville, NC","Bonsai","23","3.22","24.61","27.13","21.39","5.74","9.83","40.17","2.46","17.173913043478","95.65"
"Jacksonville, NC","Empire Chinese","122","4.76","29.89","29.48","25.13","4.34","18.27","52.51","7.5351639344262","21.024590163934","80.33"
"Jacksonville, NC","Cleaner - Lisa E","3","16.67","0.00","0.00","0.00","0.00","0.00","26.33","0","0","0"
"Fayetteville, NC","China Wok Buffet","10","11.60","29.20","25.70","16.00","9.70","16.30","55.20","6.605","25","70"
"Fayetteville, NC","PJ Thai Cuisine","3","1.67","18.00","27.67","16.33","11.33","35.67","65.00","10.28","18.333333333333","33.33"
"Fayetteville, NC","ChowCall Express","1","0.00","0.00","0.00","0.00","0.00","25.00","56.00","7.59","15","100"
"Norfolk, VA","Ruby Tuesday","17","9.82","37.59","29.59","25.82","3.76","17.35","58.71","4.5482352941176","15","70.59"
"Norfolk, VA","Arby's","23","1.00","0.00","0.00","0.00","0.00","15.61","54.48","4.5960869565217","15","95.65"
"Norfolk, VA","Fuddruckers","19","8.47","37.89","35.16","23.74","11.42","17.42","66.74","4.9763157894737","15","57.89"
"Norfolk, VA","QDOBA Mexican Eats","56","10.71","39.59","37.00","27.77","9.23","24.04","72.86","9.4323214285714","15","51.79"
"Norfolk, VA","Marco's Pizza Free Delivery Limited Time","39","13.79","35.44","27.64","21.64","6.00","17.44","58.87","2.9228205128205","15","87.18"
"Norfolk, VA","ChowCall Express","27","0.96","2.04","1.56","1.22","1.15","15.67","65.74","2.072962962963","30","62.96"
"Norfolk, VA","Chanello's Pizza","18","24.00","46.67","28.33","22.67","5.67","10.72","63.06","2.1288888888889","19.166666666667","72.22"
"Havelock, NC","McDonald's","39","0.28","1.49","0.59","0.00","0.79","11.85","38.87","3.5658974358974","20","84.62"
"Havelock, NC","Dunkin Donuts","16","0.50","0.56","0.25","0.00","0.38","16.81","52.25","2.38","20","62.5"
"Havelock, NC","Jersey Mike's","34","7.24","33.47","27.44","23.71","3.74","16.32","53.53","3.7044117647059","15","58.82"
"Havelock, NC","Big Apple Pizza Bistro","10","6.40","32.80","31.70","25.20","6.50","10.20","49.50","3.919","60","80"
"Havelock, NC","Boka Nina's Pacific Island Fusion","11","3.45","35.09","30.18","22.09","8.09","20.91","64.09","4.8454545454545","15","18.18"
"Havelock, NC","ChowCall Express","5","2.40","0.00","0.00","0.00","0.00","11.00","53.60","3.548","15","60"
"Havelock, NC","Burger King","15","2.07","4.33","0.20","0.00","0.60","20.47","46.27","2.03","15","66.67"
"INACTIVE Fort Eustis & Newport News, VA","Chick-fil-A ","4","0.25","0.00","0.00","0.00","0.00","31.25","54.50","7.7625","30","50"
"INACTIVE Fort Eustis & Newport News, VA","Wendy's","1","0.00","0.00","0.00","0.00","0.00","15.00","68.00","2.67","15","0"
"INACTIVE Fort Eustis & Newport News, VA","Zaxbys","1","12.00","27.00","19.00","15.00","4.00","15.00","46.00","5.76","30","100"
"INACTIVE Fort Eustis & Newport News, VA","Sonic","1","2.00","0.00","0.00","0.00","0.00","27.00","43.00","5.18","30","100"
"Langley AFB & Hampton, VA","Five Guys","15","4.73","31.00","33.47","25.60","7.87","13.20","52.07","3.5433333333333","30","80"
"Langley AFB & Hampton, VA","Papa John's","12","12.25","55.00","43.17","38.33","4.83","11.17","71.00","3.6591666666667","20","50"
"Langley AFB & Hampton, VA","Wing Stop","23","5.52","31.91","33.30","24.09","9.22","15.04","56.17","3.6186956521739","45","69.57"
"Langley AFB & Hampton, VA","Applebee's Grill","3","16.33","48.00","34.33","31.67","2.67","19.33","70.00","3.4933333333333","15","33.33"
"Langley AFB & Hampton, VA","Jersey Mike's","10","4.70","34.80","34.10","30.10","4.00","18.80","57.60","3.2","30","60"
"Langley AFB & Hampton, VA","Red Lobster","3","2.67","28.33","26.33","19.00","7.33","12.33","48.00","3.0733333333333","30","100"
"Langley AFB & Hampton, VA","Panda Express","21","1.95","3.71","0.90","0.00","1.76","18.14","47.43","3.4333333333333","30","76.19"
"Langley AFB & Hampton, VA","Zaxbys","30","1.37","2.30","4.53","0.00","6.90","21.50","70.40","4.1853333333333","30","43.33"
"Langley AFB & Hampton, VA","Denny's","5","1.80","42.80","46.80","37.40","9.40","8.40","60.60","2.842","30","80"
"Langley AFB & Hampton, VA","Tropical Smoothie Cafe ","7","2.57","24.43","20.71","18.57","2.14","24.14","50.71","3.3271428571429","30","71.43"
"Langley AFB & Hampton, VA","Chick-fil-A","39","0.74","3.64","0.31","0.00","4.31","16.87","54.92","3.2325641025641","30","71.79"
"Langley AFB & Hampton, VA","Taco Bell","26","1.46","1.35","0.23","0.00","0.58","15.00","49.85","3.1592307692308","15","69.23"
"Langley AFB & Hampton, VA","Wendy's","27","0.67","1.63","0.96","0.37","3.22","12.33","46.74","2.7785185185185","15","81.48"
"Langley AFB & Hampton, VA","McDonald's","54","1.00","1.65","0.91","0.00","2.24","15.00","52.89","3.4535185185185","15","66.67"
"Langley AFB & Hampton, VA","Sonic","5","0.00","0.00","0.00","0.00","0.00","15.40","57.20","4.57","30","80"
"Langley AFB & Hampton, VA","Hardees","1","3.00","0.00","0.00","0.00","0.00","0.00","37.00","3.66","30","100"
"Langley AFB & Hampton, VA","Bojangles","13","6.54","12.46","5.69","2.54","3.46","6.62","42.54","2.8846153846154","15","92.31"
"Langley AFB & Hampton, VA","Cookout","6","0.00","5.50","2.00","0.00","4.83","10.83","46.83","2.9166666666667","30","83.33"
"Langley AFB & Hampton, VA","ChowCall Express","9","0.67","6.22","0.33","0.00","2.22","12.78","50.78","3.0166666666667","30","88.89"
"Langley AFB & Hampton, VA","Chanello's Pizza","14","9.07","32.79","42.64","28.50","14.14","13.07","65.64","2.2592857142857","22.142857142857","35.71"
"NAS Oceana & Dam Neck Naval Base","Wendy's","60","1.93","1.20","0.63","0.00","0.97","11.37","54.85","2.9986666666667","15","80"
"NAS Oceana & Dam Neck Naval Base","Hardee's","17","1.35","0.35","0.88","0.00","1.41","13.24","46.06","3.1041176470588","15","88.24"
"NAS Oceana & Dam Neck Naval Base","Chick-fil-A","111","0.44","0.37","0.75","0.23","0.52","9.32","53.39","2.7685585585586","15","82.88"
"NAS Oceana & Dam Neck Naval Base","KFC","35","0.40","1.60","1.31","0.00","1.40","10.09","65.66","3.1425714285714","15","62.86"
"NAS Oceana & Dam Neck Naval Base","Taco Bell","67","0.64","0.46","0.16","0.00","0.31","10.66","49.94","3.2126865671642","15","83.58"
"NAS Oceana & Dam Neck Naval Base","Arby's","11","1.18","0.00","0.00","0.00","0.00","4.73","59.73","3.0990909090909","15","81.82"
"NAS Oceana & Dam Neck Naval Base","McDonald's","64","0.84","1.16","0.86","0.66","0.20","13.05","57.83","4.5965625","15","82.81"
"NAS Oceana & Dam Neck Naval Base","Hooters","6","4.00","36.67","35.67","31.33","4.33","12.17","53.17","3.0266666666667","15","100"
"NAS Oceana & Dam Neck Naval Base","Fuddruckers","13","17.69","48.92","41.08","27.69","13.38","10.69","73.00","3.3776923076923","15","61.54"
"NAS Oceana & Dam Neck Naval Base","Cookout","79","0.53","2.23","1.43","1.11","0.53","9.92","48.16","2.886835443038","30","88.61"
"NAS Oceana & Dam Neck Naval Base","Gran Maya Mexican Grill","31","12.32","42.03","34.77","27.52","7.26","13.65","62.94","3.3396774193548","21.774193548387","74.19"
"NAS Oceana & Dam Neck Naval Base","Jade Garden Chinese Restaurant","33","11.12","38.18","32.52","24.70","7.82","10.76","56.76","3.0512121212121","16.818181818182","87.88"
"NAS Oceana & Dam Neck Naval Base","Gino's Pizzeria by Maurizio","17","8.41","39.18","33.06","23.18","9.88","14.18","63.24","3.0235294117647","15","82.35"
"NAS Oceana & Dam Neck Naval Base","Lendy's Cafe and Raw Bar","7","7.43","47.29","52.57","39.14","13.43","11.00","71.71","3.0157142857143","15","57.14"
"NAS Oceana & Dam Neck Naval Base","Chanello's Pizza","5","11.60","36.60","27.60","25.00","2.60","15.80","55.00","4.658","15","80"
"Fort Belvoir","Wendy's","1","2.00","0.00","0.00","0.00","0.00","27.00","58.00","4.95","15","100"
"Fort Belvoir","Subway","1","0.00","0.00","0.00","0.00","0.00","11.00","28.00","2.84","30","100"
"Fort Belvoir","Taco Bell","1","0.00","0.00","0.00","0.00","0.00","31.00","91.00","3.08","15","0"
"Fort Belvoir","Five Guys","1","29.00","66.00","44.00","37.00","7.00","34.00","107.00","6.48","30","0"
"Fort Belvoir","Buffalo Wild Wings","2","49.50","81.00","55.50","49.50","6.00","0.50","106.00","5.845","15","0"
"Fort Belvoir","Popeye's","1","0.00","0.00","0.00","0.00","0.00","17.00","91.00","4.89","30","0"
"Fort Belvoir","Moe's","1","18.00","56.00","39.00","38.00","1.00","18.00","75.00","6.57","30","0"
"Fort Belvoir","KFC","2","1.00","0.00","0.00","0.00","0.00","13.00","53.00","5.595","15","50"
"Fort Belvoir","Big Panda","2","21.50","40.50","35.50","19.00","16.50","25.00","82.00","5.35","15","50"
"Fort Belvoir","El Paso Mexican Restaurant","3","5.33","91.67","108.33","84.33","24.00","7.67","123.33","3.0966666666667","30","0"
"Fort Belvoir","Quickfire Japanese Hibachi","1","4.00","47.00","45.00","43.00","2.00","18.00","67.00","6.33","30","0"
"MacDill AFB","McDonald's","5","0.00","1.00","13.20","0.00","13.20","14.20","65.00","2.944","30","40"
"MacDill AFB","Burger King","2","0.00","29.50","0.00","0.00","0.50","12.00","52.50","5.435","30","100"
"MacDill AFB","Wendy's","2","0.00","0.00","0.00","0.00","0.00","9.00","53.00","5.745","15","50"
"MacDill AFB","Popeye's","1","0.00","159.00","0.00","0.00","0.00","11.00","170.00","4.28","30","0"
"MacDill AFB","QDOBA Mexican Eats","3","37.00","99.00","66.67","62.00","4.67","18.33","122.00","4.5466666666667","15","33.33"
"MacDill AFB","Applebee's Grill","3","0.67","36.00","54.67","25.67","29.00","11.33","76.33","5.2566666666667","25","0"
"MacDill AFB","Papa John's ","5","7.60","69.20","66.80","61.40","5.40","7.20","81.80","4.22","30","60"
"MacDill AFB","Bocelli Modern Italian","1","0.00","135.00","162.00","132.00","30.00","15.00","180.00","2.3","30","0"
"MacDill AFB","The Asian Ktichen","5","20.80","47.60","31.20","26.80","4.40","14.00","66.00","2.78","30","40"
"MacDill AFB","Mr. & Mrs. Crab","1","12.00","27.00","16.00","15.00","1.00","22.00","50.00","5.08","25","100"
"Scott AFB","Jimmy John's","1","1.00","0.00","0.00","0.00","0.00","47.00","102.00","5.44","30","0"
"Scott AFB","Five Guys","1","9.00","51.00","44.00","42.00","2.00","12.00","65.00","6.07","30","0"
